Name,Hours Available,Min Hours,Max Hours,Roles,Days Off
TEST1,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST2,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST3,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST4,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST5,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST6,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST7,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST8,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST9,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST10,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST11,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST12,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST13,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST14,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST15,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST16,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST17,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST18,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST19,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST20,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST21,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST22,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST23,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST24,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST25,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST26,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST27,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST28,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST29,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST30,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST31,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST32,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST33,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST34,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST35,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST36,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST37,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST38,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST39,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST40,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST41,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST42,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST43,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST44,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST45,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST46,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST47,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST48,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST49,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST50,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST51,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST52,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST53,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST54,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST55,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST56,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST57,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST58,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST59,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST60,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST61,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST62,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST63,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST64,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST65,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST66,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST67,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST68,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST69,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST70,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST71,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST72,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST73,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST74,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST75,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST76,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST77,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST78,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST79,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST80,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST81,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST82,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST83,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST84,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST85,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST86,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST87,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST88,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST89,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST90,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST91,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST92,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST93,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST94,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST95,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST96,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST97,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST98,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST99,9-18,40,40,"Supervisor,Cashier,On-Floor",
TEST100,9-18,40,40,"Supervisor,Cashier,On-Floor",

